a2_1,a2v_1,a2_2,a2v_2
-0.878269,0.428244,-0.878451,0.428193
-0.856492,0.435542,-0.856676,0.435491
-0.834349,0.442862,-0.834536,0.442812
-0.811839,0.450204,-0.812028,0.450154
-0.788961,0.457566,-0.789152,0.457515
-0.765713,0.464944,-0.765908,0.464894
-0.742097,0.472337,-0.742293,0.472287
-0.71811,0.47974,-0.718309,0.47969
-0.693752,0.487146,-0.693954,0.487096
-0.669025,0.494548,-0.669229,0.494498
-0.643928,0.501936,-0.644135,0.501887
-0.618463,0.509299,-0.618672,0.50925
-0.592632,0.516622,-0.592844,0.516574
-0.566438,0.523889,-0.566652,0.523841
-0.539884,0.531079,-0.5401,0.531032
-0.512975,0.538167,-0.513194,0.538121
-0.485719,0.545127,-0.48594,0.545083
-0.458123,0.551928,-0.458346,0.551884
-0.430196,0.558532,-0.430421,0.558491
-0.401951,0.564902,-0.402178,0.564863
-0.373401,0.570993,-0.37363,0.570956
-0.344563,0.57676,-0.344794,0.576725
-0.315456,0.582152,-0.315688,0.58212
-0.2861,0.587118,-0.286333,0.58709
-0.25652,0.591606,-0.256754,0.591582
-0.226741,0.595566,-0.226977,0.595546
-0.196794,0.598948,-0.19703,0.598933
-0.166708,0.601709,-0.166945,0.601698
-0.136518,0.603809,-0.136755,0.603804
-0.106257,0.60522,-0.106494,0.605219
-0.0759611,0.605917,-0.076198,0.605923
-0.0456665,0.605892,-0.0459028,0.605902
-0.0154094,0.605142,-0.0156449,0.605158
0.0147745,0.603678,0.01454,0.603699
0.0448506,0.601521,0.0446174,0.601547
0.0747856,0.5987,0.074554,0.598731
0.104548,0.595253,0.104318,0.595289
0.134109,0.591225,0.133882,0.591265
0.163443,0.586663,0.163217,0.586707
0.192524,0.581619,0.1923,0.581666
0.221331,0.576144,0.22111,0.576194
0.249845,0.57029,0.249627,0.570343
0.278051,0.564107,0.277835,0.564162
0.305933,0.557641,0.30572,0.557698
0.33348,0.550936,0.33327,0.550994
0.360681,0.544031,0.360474,0.54409
0.387529,0.536961,0.387325,0.537021
0.414017,0.529758,0.413816,0.529819
0.440139,0.522448,0.439942,0.522509
0.465892,0.515054,0.465697,0.515115
0.491272,0.507596,0.49108,0.507658
0.516276,0.500091,0.516088,0.500153
0.540904,0.492551,0.540719,0.492613
0.565153,0.484988,0.564971,0.485049
0.589024,0.477409,0.588845,0.477471
0.612515,0.469823,0.612339,0.469885
0.635627,0.462233,0.635454,0.462295
0.658359,0.454644,0.658189,0.454705
0.680712,0.447058,0.680545,0.447119
0.702686,0.439476,0.702522,0.439536
0.72428,0.431899,0.72412,0.431959
0.745497,0.424328,0.745339,0.424388
